assignmentId,condition,experiment,hitId,id,study_id,workerId,stage,trial,stage_trial,elapsed
d489de33-e5b1-4829-b6c2-a0817d6a3b51,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,ff61b793-c49d-4e34-8265-ee35a4bdca73,paper-review-pilot-2,35010157605115141260511511080192024,INITIAL_PAGE_LOAD,,INITIAL_PAGE_LOAD-1,41
e6bb3497-3963-4c0d-848d-9be80c22cfe8,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,96a3ac87-d7bb-446d-836f-1270f10874f3,paper-review-pilot-2,35010157605115141260511511080192024,INITIAL_PAGE_LOAD,,INITIAL_PAGE_LOAD-1,49
2bcda2d4-9071-4be3-a835-40d2a08d0fc1,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,a4402841-1597-4357-a06e-721a3d040e2a,paper-review-pilot-2,4501006464537369204515131537363864153624,INITIAL_PAGE_LOAD,,INITIAL_PAGE_LOAD-1,121
2bcda2d4-9071-4be3-a835-40d2a08d0fc1,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,efbeb6e0-eca6-412d-8e59-636951b7e692,paper-review-pilot-2,4501006464537369204515131537363864153624,PAPER_A_PREFACE,,PAPER_A_PREFACE-1,21867
2bcda2d4-9071-4be3-a835-40d2a08d0fc1,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,27d7c08c-8034-48b8-a211-425ee5bc8192,paper-review-pilot-2,4501006464537369204515131537363864153624,PAPER_A_REVIEW,,PAPER_A_REVIEW-1,124226
56c0df63-5f27-4c35-ab01-b4d2dddc8ab6,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,0e3548c5-a761-44da-92d7-7a07d7a83b84,paper-review-pilot-2,05010064649002010010190001080192024,INITIAL_PAGE_LOAD,,INITIAL_PAGE_LOAD-1,31
56c0df63-5f27-4c35-ab01-b4d2dddc8ab6,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,8a04371f-8013-45df-bdec-89114ddb0eed,paper-review-pilot-2,05010064649002010010190001080192024,PAPER_A_PREFACE,,PAPER_A_PREFACE-1,18953
56c0df63-5f27-4c35-ab01-b4d2dddc8ab6,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,7ca9896a-d7e5-4e12-9a25-3e16cd0c4ed0,paper-review-pilot-2,05010064649002010010190001080192024,PAPER_A_REVIEW,,PAPER_A_REVIEW-1,168930
56c0df63-5f27-4c35-ab01-b4d2dddc8ab6,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,6134f8fa-9a7c-495d-a6d7-cd8b0d38d259,paper-review-pilot-2,05010064649002010010190001080192024,PAPER_A_PSUP,,PAPER_A_PSUP-1,338682
56c0df63-5f27-4c35-ab01-b4d2dddc8ab6,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,aed1b42d-c5fa-4c64-a122-278d54e68e73,paper-review-pilot-2,05010064649002010010190001080192024,PAPER_A_UNDERSTANDING,,PAPER_A_UNDERSTANDING-1,357762
56c0df63-5f27-4c35-ab01-b4d2dddc8ab6,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,b3bea41e-3307-4bb7-8782-fd42dc7a5017,paper-review-pilot-2,05010064649002010010190001080192024,PSUP_GAME,1,PSUP_GAME-1,476115
