assignment_id	assignmentId	workerId	condition	feedback
67c2ffce-e96c-4657-9362-f8a8fe8f2a6e	67c2ffce-e96c-4657-9362-f8a8fe8f2a6e	450100646453736930457705373693096123960170724	SE_POINTS_NO_FEEDBACK	There's an obvious confusion between 1) The average effect that is reported, and the likelihood of an individual exhibiting the outcome from one cohort compared to the other.  I presume that's what at issue here. Just for interpretation, the likelihood ratio of a treatment versus control individual is more intuitive than guessing probability in your examples. The likelihoods tended to be small (just above 1); my intuition in how those translate into probabilities is not obvious;  say 50% probability is roughly a likelihood ration of 1:1. 
ee027621-a55f-4ce9-9696-3e3070aebdcd	ee027621-a55f-4ce9-9696-3e3070aebdcd	05014716051151412151486041081237532	SE_NO_FEEDBACK	It was unclear to me whether you were hoping I’d hazard a guess or find my calculator and consult a CDF table: I tried the latter (but my math might be bad)
7b1e31e5-949a-4851-8395-adfd2ec63c73	7b1e31e5-949a-4851-8395-adfd2ec63c73	05010064649002010010190001080192024	SE_NO_FEEDBACK	I think the first graph was incorrect. The boxplot lines should have overlapped (mean of 6.8 + s.d. of 0.5 should have spanned 7.3 to 6.3 which included the mean of the other group). Though I'm not sure we were given enough information to actually answer the question. The t-test and p-values measure the likelihood the two are different. But maybe I'm just rusty on my statistics. I'd appreciate a little primer afterwards so I could learn!
098176f0-fc69-423d-980a-74b4386eba03	098176f0-fc69-423d-980a-74b4386eba03	4501006464537369204515107537369209026231000150024	SE_POINTS_NO_FEEDBACK	I interpreted the last 5 questions as ballpark guesses based on intuition instead of estimating ste and computing the values. If this was not the correct interpretation, then you should consider throwing this datapoint out
6c7083e2-f0e3-4efb-a15a-e6d8ea6b4bf8	6c7083e2-f0e3-4efb-a15a-e6d8ea6b4bf8	4501006464537369104472164537369108647131152204824	SE_POINTS_NO_FEEDBACK	Experimental design allows for the setting of intensity and duration of sound blasts, but only duration was used as a measure of aggressive behavior, without explanation. Reject.
a513c638-a801-4803-bfb3-5794cf8d5ddf	a513c638-a801-4803-bfb3-5794cf8d5ddf	4501006464537369204515107537369209025531080162024	SE_NO_FEEDBACK	You could add a definition of what standard error was for those who have not seen the definition in a while.
935deaa1-c73b-4f7c-b9a8-806e46098450	935deaa1-c73b-4f7c-b9a8-806e46098450	450100646453736910447216453736910864713720128024	SE_POINTS_NO_FEEDBACK	I'd like to know the answers to the questions. I wasn't sure how to solve it without having the tables but thanks :) It scratched my brain a bit
62cfbc08-b48d-4aad-9b46-34490bb176aa	62cfbc08-b48d-4aad-9b46-34490bb176aa	4501006464537369204515107537369209026231152275224	SE_POINTS_NO_FEEDBACK	"When asking on decision to accept or reject the study for publication, an open field to explain the reason why it was necessary. In this case a new variable was introduced when measuring ""aggressiveness"" which could have affected the outcome."
36258df3-720f-4c77-b4ef-910f7a411ea2	36258df3-720f-4c77-b4ef-910f7a411ea2	45010064537369204515107537363752112824	SE_NO_FEEDBACK	follow-up suggested stats material to respondents could be fun. text was a little long, but pictures were informative
e8917b85-12a4-4163-be40-23108571dffa	e8917b85-12a4-4163-be40-23108571dffa	4501006464537369104472124537369108646731440256124	SE_POINTS_NO_FEEDBACK	Interesting study to guess probabilities - felt like I should revise my big book of stats to calculate it exactly, but then just did it visually based on relative population dispersions.
