assignmentId,condition,experiment,hitId,id,study_id,workerId,rctComfort,currentlyDoingResearch,yearsExperience,has_phd,has_any_stats_training,has_read_rct,has_published,has_conducted_rct,has_took_course,has_analyzed_data,has_used_stats_software
009d07f1-7df6-44ea-a42b-a761f8c12d59,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,7373e292-2dde-4b92-92d6-5089d380f6c7,paper-review-pilot-2,4501006464537369204515107537369209026231080192024,4,0,3-5 years,False,1.0,True,True,False,True,True,True
00db48e5-0507-4963-bf96-089ee66cf7b4,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,0fee6f65-c8eb-48fe-8cee-205f9be51724,paper-review-pilot-2,4501006464537369204515107537369209026231003150424,,,,,,,,,,,
01261c7d-cc28-4fa6-bf3d-e52735c52b4a,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,f62a2557-606b-4c9e-9920-bb26c8544c07,paper-review-pilot-2,450100646453736920451513153736920902673720128024,,,,,,,,,,,
019c620d-b784-4f40-9d80-4ffd8f285086,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,c347ed97-ee84-4f83-8fe9-a641752de18f,paper-review-pilot-2,450100645373692045151075373631080192024,,,,,,,,,,,
020aee7b-bbbf-4f16-9f8a-c41120c4f98e,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,78826a0b-57f8-49ee-bf69-902b005a2d8a,paper-review-pilot-2,4501006464537369104472124537369108647031003150424,3,0,3-5 years,False,3.0,True,True,False,True,True,True
0218cf26-e5e8-4dcf-acab-600e1b1bf366,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,9b625b80-eb1d-4f40-ad44-e9053446124b,paper-review-pilot-2,050150605115150151486041092642832,3,1,1-2 years,False,1.0,True,True,True,True,False,True
0236204a-eea0-4253-b104-b715e2a0c252,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,fef03686-dcde-4246-a11b-9dc202f7a0c0,paper-review-pilot-2,4501006464537369104472164537369108647131080192024,3,0,3-5 years,False,1.0,False,False,False,True,True,True
023b6ec7-178e-4493-8ff1-bd6e1d69b0d4,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,d719013c-47bd-46dc-bca4-f735296e2c00,paper-review-pilot-2,4501006464537369204515107537369209026231080192024,2,0,3-5 years,False,1.0,True,False,False,True,True,False
0244c60e-ac0b-4f63-a498-00151c51d4fc,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,fab335e2-0e8f-477f-91d8-fab6dc683672,paper-review-pilot-2,4501006464537369204515107537369209026231152204824,,,,,,,,,,,
02d911c8-d97e-49da-a708-abe9a8d616c9,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,1db14726-8101-4b26-96b2-b553dcdd485d,paper-review-pilot-2,4501006464537369204515131537369209026731000150024,,,,,,,,,,,
05a417be-8f5d-469d-8726-090578997348,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,d2f7ed32-1295-4ab5-a5a4-9a5b991a88a0,paper-review-pilot-2,4501006464537369204515131537369209026731080192024,,,,,,,,,,,
05cdf4e0-8599-49f2-ad26-d052c454f196,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,23111c89-7514-43f5-8762-223e52a6bcf0,paper-review-pilot-2,450100646453736910447212453736910864673720128024,,,,,,,,,,,
061e1eec-960b-4b16-9f04-26a0a226a012,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,a7655a68-c4c7-49ba-9f40-edaa06a9ca11,paper-review-pilot-2,450100645373692045151075373631440256024,,,,,,,,,,,
0674c555-999a-4264-a4e3-44643aa92950,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,2a5bbb56-dae3-46f9-8f0c-372093b2b0b8,paper-review-pilot-2,4501006464537369104472124537369108646731204180524,,,,,,,,,,,
0759d639-c44e-429e-928e-9a6113577831,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,cb5a5521-f909-469d-b467-195d5d1a5087,paper-review-pilot-2,25010157537369204515131537362900144030,,,,,,,,,,,
07bc3e8d-d7f8-4410-bb1c-5914edbbc7c6,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,b082f635-e4b0-4839-9a3a-9bcc52662579,paper-review-pilot-2,4501006464537369204515107537369209026232560144024,2,0,3-5 years,False,1.0,True,False,False,True,True,True
08138815-3879-4f77-93c7-db84dcea91d3,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,2d920e76-6fa7-4bad-8245-dcf1ac12f410,paper-review-pilot-2,05014716051151412151486041081237532,,,,,,,,,,,
0817c369-b5e3-46cb-99db-172687466729,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,6fc18192-7812-434c-bd85-7ff7cc43bc7f,paper-review-pilot-2,4501006464537369204515107537369209025531080192024,,,,,,,,,,,
0966c219-c515-4d55-b5b1-948f0feb6fbe,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,fa27bb54-1340-491e-a2c6-04f757f3281f,paper-review-pilot-2,450100646453736920451510753736920902623720128024,,,,,,,,,,,
098176f0-fc69-423d-980a-74b4386eba03,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,8269aa08-783f-4100-8ea3-b28d70d05bc8,paper-review-pilot-2,4501006464537369204515107537369209026231000150024,3,0,6-10 years,False,4.0,True,False,True,True,True,True
0b3ba232-3390-4e92-a464-cc85b9d909fa,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,e78f0e85-9625-45d9-b55c-49523d8cb424,paper-review-pilot-2,4501006464537369204515107537369209025531080192024,4,1,6-10 years,True,1.0,True,True,False,True,True,True
0b4b9f40-baef-416c-a543-554cf3ffe475,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,55c8f013-0470-4090-93b8-7aa114c8cbb2,paper-review-pilot-2,4501006464537369204515131537369209026731003150424,2,0,3-5 years,False,2.0,True,True,False,False,False,True
0b6f8d3c-dbf0-4eec-bbc0-155886fc54fd,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,38c72ba8-e88a-48ac-ae5d-ddfbfe37c839,paper-review-pilot-2,4501006464537369104472164537369108647131080162024,,,,,,,,,,,
0c4bef02-ded9-4793-a31f-a514afed5b6d,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,328119a6-86d6-4415-9f3b-37d8df52ef2f,paper-review-pilot-2,450100645373692045151075373631200192024,,,,,,,,,,,
0c5f689c-3329-4679-a421-cadc072e365f,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,3105ecdd-e4a9-47ee-9d6b-4767ab002c74,paper-review-pilot-2,4501006464537369204515107537369209026231080192024,4,0,6-10 years,False,2.0,True,False,True,True,True,False
0d75d932-e74d-4d39-9ed8-e629418c7ca9,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,286c40f1-9879-4720-a5d6-b9b29b17e705,paper-review-pilot-2,4501006464537369104472164537369108647131152204824,,,,,,,,,,,
