assignmentId,condition,experiment,hitId,id,stage,study_id,workerId,paperA_editorialResponse,paperA_superiorityEstimate,paperA_whatYouSaw,paperA_whatYouSaw2,q_appeal,q_sample_size,q_overall,has_any_stats_training,elapsed
d8f2bf59-fa5c-41c8-bf31-0ec9b35c2a9c,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,095b4d19-98e1-4c40-bdfc-6df644612243,PAPER_A_UNDERSTANDING,paper-review-pilot-2,4501006464537369104472124537369108647031080162024,"{'q_appeal': '3', 'q_sample_size': '2', 'q_overall': '3'}",90,recalled_1_se,recalled_uncert_pop,3,2,3,,279254
61e8414d-ac31-46d1-9b07-7c5ba696bda0,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,b7d139fe-eaad-4823-a9bc-7ad81cea78ab,PAPER_A_UNDERSTANDING,paper-review-pilot-2,4501006464537369104472164537369108647131200192024,"{'q_appeal': '3', 'q_sample_size': '5', 'q_overall': '3'}",59,recalled_1_se,recalled_uncert_avg,3,5,3,,103533
9373b4fe-5830-4161-8b6c-bba4f0c8f12b,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,b2e59887-ce1c-4b6f-9c4f-50eea3fe2b83,PAPER_A_UNDERSTANDING,paper-review-pilot-2,4501006464537369204515107537369209026231003150424,"{'q_appeal': '2', 'q_sample_size': '4', 'q_overall': '4'}",99,recalled_1_sd,recalled_uncert_avg,2,4,4,,164190
39d3e124-c7f9-4721-a171-95666c16a1b6,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,77ab0d2a-2afa-4d57-8008-6ced35e1c696,PAPER_A_UNDERSTANDING,paper-review-pilot-2,35010157605115141160511511440256024,"{'q_appeal': '4', 'q_sample_size': '4', 'q_overall': '4'}",99,recalled_1_sd,recalled_uncert_pop,4,4,4,,234506
eda9f6b9-f4b0-4434-9bb0-d39621e784b3,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,fc20f74f-d661-4bcf-8cc8-797c4137865f,PAPER_A_UNDERSTANDING,paper-review-pilot-2,45010064537369204515107537363960170724,"{'q_appeal': '3', 'q_sample_size': '5', 'q_overall': '3'}",60,recalled_1_sd,recalled_uncert_pop,3,5,3,,250497
4cf6167f-cf0f-4146-b167-652e200b8891,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,c6bf6d21-c58f-480a-885d-a0f9b3987db4,PAPER_A_UNDERSTANDING,paper-review-pilot-2,4501006464537369104472124537369108646731080192024,"{'q_appeal': '4', 'q_sample_size': '3', 'q_overall': '4'}",55,recalled_1_se,recalled_uncert_avg,4,3,4,,99923
826d918a-aca9-405d-8d31-80ff81605cc3,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,95660498-57fc-41b5-b1d1-916bb3c3f0a9,PAPER_A_UNDERSTANDING,paper-review-pilot-2,4501006464537369204515107537369209026231080192024,"{'q_appeal': '4', 'q_sample_size': '4', 'q_overall': '4'}",50,recalled_1_se,recalled_uncert_avg,4,4,4,,947629
fc206103-8848-44da-9f31-277a94a5e6dc,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,c7a0af6e-7774-44fb-8b73-4aeea90d0414,PAPER_A_UNDERSTANDING,paper-review-pilot-2,4501006464537369204515107537369209025531080192024,"{'q_appeal': '5', 'q_sample_size': '1', 'q_overall': '5'}",50,recalled_1_se,recalled_uncert_pop,5,1,5,,425490
f135aec9-60fe-459e-b969-be2f5d4945fa,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,5614822f-c1a9-4759-97ae-48051d2b1bf8,PAPER_A_UNDERSTANDING,paper-review-pilot-2,4501006464537369204515107537369209026231440256024,"{'q_appeal': '1', 'q_sample_size': '1', 'q_overall': '3'}",50,recalled_1_sd,recalled_uncert_pop,1,1,3,,44389
0218cf26-e5e8-4dcf-acab-600e1b1bf366,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,7a637017-806c-40f5-a280-f72044173b0b,PAPER_A_UNDERSTANDING,paper-review-pilot-2,050150605115150151486041092642832,"{'q_appeal': '2', 'q_sample_size': '3', 'q_overall': '5'}",50,recalled_1_se,recalled_uncert_avg,2,3,5,,487812
