assignmentId,condition,experiment,hitId,id,study_id,workerId,stage,trial,stage_trial,elapsed
b521c019-c6c7-491a-829a-0a674c950dae,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,bed5a0c9-523e-47ce-948a-66e9a59da3d4,paper-review-pilot-2,4501006464537369204515107537369209026231080192024,INITIAL_PAGE_LOAD,,INITIAL_PAGE_LOAD-1,106
5d1c7fc6-4ad7-42c4-ad62-c5c86571bc3d,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,2a811baa-3818-4821-870a-fa7d543bb0cd,paper-review-pilot-2,35010157605115141260511511080192024,INITIAL_PAGE_LOAD,,INITIAL_PAGE_LOAD-1,42
5d1c7fc6-4ad7-42c4-ad62-c5c86571bc3d,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,dabfe02b-e510-44bb-aeec-0176916f6091,paper-review-pilot-2,35010157605115141260511511080192024,PAPER_A_PREFACE,,PAPER_A_PREFACE-1,3189
d8f2bf59-fa5c-41c8-bf31-0ec9b35c2a9c,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,1d6690e8-59cd-4f95-9ebb-0c14e121d8b1,paper-review-pilot-2,4501006464537369104472124537369108647031080162024,INITIAL_PAGE_LOAD,,INITIAL_PAGE_LOAD-1,62
d8f2bf59-fa5c-41c8-bf31-0ec9b35c2a9c,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,b2c11eff-0226-45dc-8080-534f6b3ebbc1,paper-review-pilot-2,4501006464537369104472124537369108647031080162024,PAPER_A_PREFACE,,PAPER_A_PREFACE-1,12719
d8f2bf59-fa5c-41c8-bf31-0ec9b35c2a9c,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,0ef7ef95-7282-45d7-840b-802974a1b61d,paper-review-pilot-2,4501006464537369104472124537369108647031080162024,PAPER_A_REVIEW,,PAPER_A_REVIEW-1,171497
63cc1dec-966c-498b-b781-6813ffc708d2,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,b05779c7-18f7-4455-b4a7-583b4f3e3d1c,paper-review-pilot-2,4501006464537369104472164537369108647131200192024,INITIAL_PAGE_LOAD,,INITIAL_PAGE_LOAD-1,45
63cc1dec-966c-498b-b781-6813ffc708d2,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,91693531-603a-470e-a896-0edc8c0cd8b3,paper-review-pilot-2,4501006464537369104472164537369108647131200192024,PAPER_A_PREFACE,,PAPER_A_PREFACE-1,7813
d8f2bf59-fa5c-41c8-bf31-0ec9b35c2a9c,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,8c9d772c-5473-471e-b743-8455fc1b945d,paper-review-pilot-2,4501006464537369104472124537369108647031080162024,PAPER_A_PSUP,,PAPER_A_PSUP-1,265445
d8f2bf59-fa5c-41c8-bf31-0ec9b35c2a9c,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,095b4d19-98e1-4c40-bdfc-6df644612243,paper-review-pilot-2,4501006464537369104472124537369108647031080162024,PAPER_A_UNDERSTANDING,,PAPER_A_UNDERSTANDING-1,279254
