hit_id	assignment_id	worker_id	variable	value
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	feedback	i just guessed
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	workerId	bde22ef48b88b884da92484c01ae6cb2
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	medication_type	covid_19
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	first_condition	se
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	distbuilder_order	treatment_first
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	recall_answer_order	recalled_se_first
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	ts_consent_start	2020-09-08 12:31:02
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	ts_first_scenario_start	2020-09-08 12:31:09
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	ts_rct_start_sd	2020-09-08 12:32:57
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	ts_rct_start_se	2020-09-08 12:31:13
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	ts_cost_start_sd	2020-09-08 12:33:06
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	ts_cost_start_se	2020-09-08 12:31:26
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	ts_what_you_saw_start_sd	2020-09-08 12:33:13
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	ts_what_you_saw_start_se	2020-09-08 12:31:34
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	ts_distbuilder_start_sd	2020-09-08 12:33:17
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	ts_distbuilder_start_se	2020-09-08 12:31:38
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	ts_submitted_	2020-09-08 12:34:17
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	superiority_estimate_sd	66
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	superiority_estimate_se	99
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	cost_estimate_sd	300
35JDMRECC4EVI8JFY7DVP50QDCUGEN	3DI28L7YXBJ10DR66QXU62R2J3FE1Z	bde22ef48b88b884da92484c01ae6cb2	cost_estimate_se	700
